id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
5,d,25.0,25.0,6.2,77,3.0,0,0.0,2,-2.0,12.7,30,10.0,81,0,7.4,2.0,1.0,13,279,0.0,754.0,253.0,0.0,13.1,0.0,3888371,1356,4829356,29055,0.2,0.2,0.82,0.69,1.51,6.17,0.07,0.06,0.13,0.56,318.6,64.0,28.0,62.6,242.0,71.0,88.0,179.0,38.0,46.9,141.0,51.0,,,,17,,Gabriel,dos Santos Magalhães,Gabriel,Thigh injury - 25% chance of playing,,990,1,2,7,5,0,0,0,1,0,0,11,115,,,,0.0,0.64,0.45,1.0,9.09,12,88,15
34,u,0.0,0.0,4.0,649,53.0,0,0.0,0,0.0,0.1,459,73.0,0,0,0.0,546.0,68.0,0,0,0.0,490.0,63.0,0.0,0.0,0.0,0,0,15820,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,68.0,0.0,527.0,57.0,0.0,495.0,42.0,0.0,540.0,68.0,,,,17,,Joe,Gauci,Gauci,Has joined Port Vale on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
35,u,0.0,0.0,4.0,648,52.0,0,0.0,0,0.0,0.0,707,81.0,0,0,0.0,545.0,67.0,0,0,0.0,489.0,62.0,0.0,0.0,0.0,0,0,1154,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539.0,67.0,0.0,526.0,56.0,0.0,494.0,41.0,0.0,539.0,67.0,,,,17,,Filip,Marschall,Marschall,Has joined Stevenage permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
117,u,0.0,0.0,3.9,737,224.0,0,0.0,-1,1.0,0.1,480,175.0,0,0,0.0,519.0,190.0,0,0,0.0,463.0,175.0,0.0,0.0,0.0,4108,0,14631,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,192.0,0.0,498.0,192.0,0.0,465.0,182.0,0.0,513.0,192.0,,,,17,,Kim,Ji-soo,Ji-soo,has joined Kaiserslautern on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
127,a,100.0,100.0,4.9,334,207.0,0,0.0,-1,1.0,0.0,685,289.0,0,0,0.0,725.0,312.0,0,0,0.0,705.0,301.0,0.0,0.0,0.0,1064,53,1406,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.0,312.0,0.0,722.0,312.0,0.0,715.0,310.0,0.0,726.0,312.0,,,,17,,Gustavo,Nunes Fernandes Gomes,Nunes,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
240,u,0.0,0.0,5.9,96,63.0,0,0.0,-1,1.0,0.1,491,168.0,0,0,0.0,758.0,336.0,0,0,0.0,751.0,334.0,0.0,0.0,0.0,2668,0,23476,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759.0,336.0,0.0,759.0,336.0,0.0,758.0,336.0,0.0,759.0,336.0,,,,17,,Christopher,Nkunku,Nkunku,has joined AC Milan permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
243,a,,,4.8,366,229.0,0,0.0,-2,2.0,0.1,546,197.0,4,0,1.0,437.0,206.0,0,2,0.0,685.0,288.0,0.0,0.8,0.0,5565,67,7927,63,0.0,0.0,0.32,0.08,0.4,1.65,0.2,0.05,0.25,1.05,8.2,423.0,193.0,7.0,390.0,194.0,56.0,242.0,131.0,7.1,384.0,180.0,,,,17,,Tyrique,George,George,,,142,0,0,1,2,0,0,0,2,0,0,0,3,,,,0.0,0.63,1.27,0.0,1.9,2,0,1
288,a,,,4.3,557,28.0,0,0.0,-2,2.0,0.1,445,69.0,0,0,0.0,591.0,82.0,0,0,0.0,541.0,77.0,0.0,0.0,0.0,3335,36,10097,82,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.0,82.0,0.0,573.0,72.0,0.0,549.0,59.0,0.0,586.0,82.0,,,,17,,Mark,Travers,Travers,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
298,a,,,3.8,754,240.0,0,0.0,-2,2.0,0.1,411,154.0,0,0,0.0,471.0,166.0,0,0,0.0,413.0,150.0,0.0,0.0,0.0,5634,87,12258,88,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0,170.0,0.0,450.0,169.0,0.0,415.0,157.0,0.0,466.0,169.0,,,,17,,Reece,Welch,Welch,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
483,a,,,3.8,766,252.0,0,0.0,-2,2.0,0.4,261,98.0,0,0,0.0,480.0,175.0,0,0,0.0,422.0,159.0,0.0,0.0,0.0,58616,660,31070,905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,178.0,0.0,458.0,177.0,0.0,424.0,166.0,0.0,474.0,177.0,,,,17,,Miodrag,Pivaš,Pivas,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
