id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
185,Václav,Hladký,Hladký,a,,,3.9,691,62.0,0.2,381,58.0,0.0,421.0,25.0,0,0,0.0,-1,1.0,550,290,0.0,0.0,0.0,0.0,0.0,484.0,32.0,,,479.0,32.0,462.0,18.0,428.0,3.0,478.0,32.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Connor,Roberts,Roberts,i,Achilles injury - Unknown return date,,4.4,497,104.0,0.0,630,218.0,0.0,566.0,227.0,0,0,0.0,-1,1.0,10,43,0.0,0.0,0.0,0.0,0.0,613.0,236.0,0.0,0.0,609.0,238.0,600.0,238.0,580.0,235.0,610.0,238.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,Kyle,Walker,Walker,a,,,4.4,491,99.0,1.2,170,70.0,1.4,244.0,88.0,2,0,0.0,-1,1.0,2239,1963,0.3,8.2,1.4,1.4,2.2,259.0,98.0,100.0,100.0,125.0,55.0,216.0,58.0,325.0,108.0,219.0,71.0,,,,,,,,0.01,0.03,0.04,2.05,0.0,0.13,1.96,1.01,7.26,17,2.0,76.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2753.0,2647.0,0.0,0.0,0.010000000000000009,0.010000000000000009,1.0700000000000003,7.0,1.9000000000000057,2.0,1.0999999999999943,1.0,4.0,3.0,5.0
684,Malick,Thiaw,Thiaw,a,,,5.0,259,41.0,2.6,112,43.0,4.6,48.0,18.0,1,0,0.0,0,0.0,15747,18750,0.9,10.6,4.6,4.6,3.8,90.0,35.0,,,41.0,19.0,325.0,110.0,107.0,15.0,111.0,35.0,,,,,,,,0.09,0.03,0.12,1.33,0.0,0.15,1.54,1.0,9.6,17,1.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,19745.0,28263.0,0.0,0.0,0.0,0.0,1.2199999999999989,16.19999999999999,0.1999999999999993,2.0,1.8000000000000043,2.0,7.0,1.0,9.0
627,Sam,Johnstone,Johnstone,a,,,4.4,493,25.0,0.1,410,63.0,1.0,288.0,21.0,0,-1,1.0,-1,1.0,105,424,0.2,4.8,0.5,1.0,1.8,306.0,26.0,,,75.0,14.0,439.0,13.0,577.0,64.0,237.0,14.0,,,,,,,,0.0,0.0,0.0,1.55,3.25,0.0,2.0,1.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
628,José,Malheiro de Sá,José Sá,a,,,4.2,605,35.0,1.0,182,24.0,0.4,347.0,23.0,2,0,0.0,-3,3.0,570,1665,0.1,1.7,-0.1,0.4,1.4,366.0,28.0,,,299.0,26.0,375.0,4.0,536.0,55.0,366.0,25.0,,,,,,,,0.0,0.01,0.01,1.49,1.8,0.0,2.6,1.0,0.0,17,2.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,14.0,696.0,2251.0,0.0,0.0,0.0,0.0,1.2800000000000002,35.8,0.0,0.0,3.5999999999999996,0.0,1.0,7.0,0.0
188,Hannes,Delcroix,Delcroix,a,,,3.8,751,236.0,0.3,305,113.0,0.0,406.0,148.0,0,0,0.0,-2,2.0,1184,800,0.0,0.0,0.0,0.0,0.0,469.0,164.0,,,465.0,168.0,448.0,167.0,412.0,154.0,463.0,166.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1618.0,994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
629,Daniel,Bentley,Bentley,i,Ankle injury - Unknown return date,,3.9,694,65.0,0.5,255,33.0,0.0,424.0,28.0,0,-1,1.0,-1,1.0,97,1138,0.0,0.0,0.0,0.0,0.0,486.0,34.0,0.0,0.0,481.0,34.0,465.0,21.0,431.0,6.0,480.0,34.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,1474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,Owen,Dodgson,Dodgson,u,Has joined Stockport County on loan for the rest of the season.,,4.0,646,169.0,0.0,689,237.0,0.0,485.0,189.0,0,0,0.0,0,0.0,0,10,0.0,0.0,0.0,0.0,0.0,546.0,204.0,0.0,0.0,540.0,206.0,527.0,206.0,495.0,197.0,540.0,206.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
641,Alfie,Pond,Pond,a,,,3.9,729,219.0,1.2,167,68.0,0.0,452.0,171.0,0,0,0.0,-1,1.0,499,2103,0.0,0.0,-0.5,0.0,0.0,513.0,186.0,,,507.0,188.0,492.0,188.0,459.0,178.0,507.0,188.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.0,2610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,Hjalmar,Ekdal,Ekdal,a,,,3.9,719,215.0,0.9,201,78.0,2.0,182.0,65.0,4,0,0.0,-1,1.0,2593,1482,0.5,7.7,2.0,2.0,2.7,208.0,78.0,,,164.0,68.0,320.0,107.0,207.0,51.0,240.0,78.0,,,,,,,,0.02,0.02,0.04,1.74,0.0,0.1,1.91,1.01,9.98,17,4.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2836.0,2174.0,0.0,0.0,0.0,0.0,1.4099999999999984,17.400000000000006,0.1999999999999993,2.0,2.0,0.0,11.0,3.0,11.0
