id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
66,u,0.0,0.0,4.5,395,21.0,0,0.0,0,0.0,0.1,541,78.0,0,0,0.0,642.0,85.0,0,0,0.0,602.0,82.0,0.0,0.0,0.0,0,0,16026,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638.0,85.0,0.0,630.0,78.0,0.0,613.0,67.0,0.0,640.0,85.0,,,,18,,Norberto,Murara Neto,Neto,Has joined Botafogo permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
67,a,,,4.5,422,24.0,0,0.0,0,0.0,5.4,72,13.0,54,-1,3.0,177.0,18.0,1,210,2.2,174.0,14.0,0.5,12.0,0.0,774196,273,506862,5718,2.2,2.2,0.0,0.0,0.0,26.47,0.0,0.0,0.0,1.47,395.0,29.0,9.0,0.0,645.0,80.0,0.0,631.0,70.0,39.7,195.0,9.0,,,,18,,Đorđe,Petrović,Petrović,,,1620,0,0,5,33,1,0,0,1,0,53,18,98,,,,2.94,0.28,1.83,1.0,0.0,0,31,137
69,a,,,3.9,739,87.0,0,0.0,-1,1.0,0.2,359,52.0,0,0,0.0,525.0,57.0,0,0,0.0,467.0,51.0,0.0,0.0,0.0,9538,221,12503,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0,57.0,0.0,505.0,44.0,0.0,472.0,29.0,0.0,519.0,57.0,,,,18,,Callan,McKenna,McKenna,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
90,a,,,5.0,268,165.0,0,0.0,0,0.0,0.3,331,112.0,54,5,3.0,181.0,78.0,3,247,2.8,118.0,52.0,0.6,10.8,0.0,64808,145,51942,191,2.8,2.8,1.21,0.55,1.76,18.95,0.09,0.04,0.13,1.48,211.4,165.0,65.0,165.1,102.0,74.0,120.0,136.0,79.0,49.2,140.0,75.0,1.0,,,18,,Alex,Scott,Scott,,,1155,1,1,5,21,0,0,0,2,0,0,15,147,,,,0.0,0.39,1.64,1.17,11.45,27,50,70
92,u,0.0,0.0,4.5,418,251.0,0,0.0,0,0.0,0.1,535,192.0,0,0,0.0,653.0,257.0,0,0,0.0,615.0,234.0,0.0,0.0,0.0,3740,0,18780,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.0,252.0,0.0,642.0,252.0,0.0,628.0,249.0,0.0,651.0,254.0,,,,18,,Romain,Faivre,Faivre,has joined Al Taawoun permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
103,a,,,3.9,727,82.0,0,0.0,-1,1.0,0.2,385,58.0,0,0,0.0,513.0,52.0,0,0,0.0,455.0,46.0,0.0,0.0,0.0,10813,45,9175,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,52.0,0.0,493.0,39.0,0.0,460.0,24.0,0.0,507.0,52.0,,,,18,,Matthew,Cox,Cox,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
104,a,,,3.9,734,84.0,0,0.0,-1,1.0,0.1,427,66.0,0,0,0.0,520.0,54.0,0,0,0.0,462.0,48.0,0.0,0.0,0.0,11935,20,6961,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,54.0,0.0,500.0,41.0,0.0,467.0,26.0,0.0,514.0,54.0,,,,18,,Julian,Eyestone,Eyestone,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
105,a,,,3.9,728,83.0,0,0.0,-1,1.0,0.7,221,29.0,0,0,0.0,514.0,53.0,0,0,0.0,456.0,47.0,0.0,0.0,0.0,34395,57,60592,211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.0,53.0,0.0,494.0,40.0,0.0,461.0,25.0,0.0,508.0,53.0,,,,18,,Hákon Rafn,Valdimarsson,Valdimarsson,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
1,a,,,6.0,85,1.0,0,0.0,5,-5.0,36.3,5,1.0,77,2,4.3,56.0,3.0,4,314,3.7,78.0,7.0,0.6,12.8,0.0,3208572,5405,1290281,9528,4.7,4.7,0.0,0.04,0.04,10.92,0.0,0.0,0.0,0.61,288.4,97.0,16.0,20.3,346.0,3.0,0.0,763.0,88.0,31.0,241.0,14.0,,,,18,,David,Raya Martín,Raya,,,1620,0,0,9,11,0,0,0,1,0,29,18,94,,,,1.61,0.5,0.61,1.0,0.0,0,13,147
25,a,,,5.1,236,145.0,0,0.0,-4,4.0,0.1,428,143.0,8,0,1.3,389.0,177.0,0,20,0.0,728.0,317.0,0.0,1.6,0.0,12241,32,33934,58,1.0,1.0,0.23,0.08,0.31,0.73,0.13,0.04,0.17,0.4,8.6,423.0,192.0,22.5,344.0,183.0,24.0,314.0,165.0,5.4,398.0,184.0,,,,18,,Ethan,Nwaneri,Nwaneri,,,165,0,0,1,0,0,0,0,0,0,0,0,13,,,,0.0,0.55,0.0,0.0,7.09,2,1,10
26,a,100.0,100.0,5.2,217,135.0,0,0.0,-3,3.0,2.2,128,43.0,61,2,3.4,123.0,53.0,4,289,1.8,206.0,96.0,0.3,11.7,0.0,682909,733,719640,1793,2.8,2.8,1.15,1.18,2.33,10.08,0.07,0.07,0.14,0.6,288.4,96.0,31.0,245.1,58.0,48.0,108.0,152.0,89.0,64.3,81.0,51.0,,,,18,,Martín,Zubimendi Ibáñez,Zubimendi,,,1500,2,1,9,10,0,0,0,3,0,0,17,141,,,,0.0,0.54,0.6,1.02,8.46,26,62,53
34,u,0.0,0.0,4.0,649,51.0,0,0.0,0,0.0,0.1,463,74.0,0,0,0.0,551.0,69.0,0,0,0.0,493.0,63.0,0.0,0.0,0.0,0,0,16045,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.0,69.0,0.0,533.0,58.0,0.0,501.0,43.0,0.0,545.0,69.0,,,,18,,Joe,Gauci,Gauci,Has joined Port Vale on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
35,u,0.0,0.0,4.0,648,50.0,0,0.0,0,0.0,0.0,708,82.0,0,0,0.0,550.0,68.0,0,0,0.0,492.0,62.0,0.0,0.0,0.0,0,0,1169,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0,68.0,0.0,532.0,57.0,0.0,500.0,42.0,0.0,544.0,68.0,,,,18,,Filip,Marschall,Marschall,Has joined Stevenage permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
36,a,100.0,100.0,4.9,292,49.0,0,0.0,4,-4.0,12.9,28,8.0,76,1,4.2,62.0,28.0,6,266,3.7,73.0,26.0,0.8,15.5,0.0,2056390,5901,792348,18560,2.7,3.7,0.66,1.41,2.07,24.44,0.04,0.08,0.12,1.38,362.2,41.0,19.0,233.3,63.0,11.0,111.0,149.0,27.0,70.7,58.0,8.0,1.0,,,18,,Matty,Cash,Cash,,,1592,3,1,5,18,0,0,0,5,0,0,18,127,,,,0.0,0.28,1.02,1.02,5.88,32,72,38
47,a,100.0,100.0,7.3,28,18.0,0,0.0,3,-3.0,22.4,14,4.0,92,1,5.1,20.0,10.0,10,318,7.0,6.0,4.0,1.0,12.6,0.0,3243783,79973,1533433,8816,6.0,7.0,2.89,1.98,4.87,25.33,0.16,0.11,0.27,1.42,412.4,24.0,6.0,258.1,54.0,45.0,367.0,18.0,9.0,103.6,18.0,15.0,,,,18,,Morgan,Rogers,Rogers,,,1606,7,3,5,19,0,0,0,3,0,0,18,111,,,,0.0,0.28,1.06,1.01,6.22,19,27,65
59,a,100.0,100.0,4.8,355,222.0,0,0.0,-2,2.0,0.8,205,71.0,45,1,3.5,110.0,47.0,3,205,3.5,80.0,36.0,0.7,9.4,0.0,125327,860,225551,688,2.5,3.5,0.43,0.21,0.64,13.62,0.05,0.02,0.07,1.46,232.2,149.0,56.0,57.9,261.0,156.0,65.0,226.0,124.0,35.5,221.0,114.0,,,,18,,Amadou,Onana,Onana,,,841,2,0,3,11,0,0,0,2,0,0,10,116,,,,0.0,0.32,1.18,1.07,12.41,27,52,37
60,a,,,4.5,468,285.0,0,0.0,0,0.0,0.3,314,107.0,0,0,0.0,690.0,286.0,0,0,0.0,653.0,264.0,0.0,0.0,0.0,35611,116,43113,164,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.0,283.0,0.0,682.0,283.0,0.0,667.0,279.0,0.0,689.0,284.0,,,,18,,Ben,Broggio,Broggio,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
719,a,100.0,100.0,4.5,403,77.0,0,0.0,0,0.0,0.1,530,192.0,12,2,1.7,328.0,121.0,0,50,1.5,239.0,87.0,0.3,2.7,0.0,7827,133,4402,49,0.5,1.5,0.0,0.02,0.02,5.19,0.0,0.01,0.01,1.58,47.8,351.0,130.0,12.9,368.0,131.0,2.0,402.0,151.0,6.4,391.0,137.0,,,,18,,Victor,Lindelöf,Lindelöf,,,295,0,1,0,4,0,0,0,0,0,0,3,21,,,,0.0,0.0,1.22,0.92,6.41,3,18,7
38,a,100.0,100.0,4.4,500,105.0,0,0.0,-1,1.0,7.5,58,19.0,53,4,3.1,163.0,65.0,2,260,3.0,106.0,39.0,0.7,12.0,0.0,396737,1709,1758556,4016,2.0,3.0,0.31,0.23,0.54,23.89,0.02,0.01,0.03,1.43,274.6,107.0,48.0,54.8,266.0,81.0,60.0,238.0,69.0,39.2,196.0,67.0,,,,18,,Ezri,Konsa Ngoyo,Konsa,,,1505,0,0,5,18,0,0,0,0,1,0,17,126,,,,0.0,0.3,1.08,1.02,5.92,8,91,50
39,a,,,4.2,615,151.0,0,0.0,-3,3.0,0.5,254,95.0,15,2,1.2,395.0,144.0,0,83,1.3,251.0,91.0,0.3,3.6,0.0,38267,437,80800,296,0.3,1.3,0.51,0.77,1.28,11.74,0.08,0.11,0.19,1.75,119.8,248.0,98.0,133.9,143.0,35.0,73.0,205.0,51.0,32.8,231.0,77.0,5.0,,,18,,Ian,Maatsen,Maatsen,,,603,0,0,0,11,0,0,0,1,0,0,6,63,,,,0.0,0.0,1.64,0.9,7.61,19,32,36
40,i,0.0,0.0,4.3,551,125.0,0,0.0,-2,2.0,0.6,239,89.0,24,0,3.4,117.0,44.0,1,87,0.0,542.0,227.0,0.0,5.6,0.0,122519,9,184840,227,0.0,0.0,0.33,0.09,0.42,8.78,0.06,0.02,0.08,1.59,120.2,246.0,97.0,44.6,288.0,93.0,25.0,309.0,100.0,19.0,307.0,102.0,,,,18,,Tyrone,Mings,Mings,Hamstring injury - Expected back 30 Dec,,497,0,0,2,6,0,0,0,0,0,0,6,57,,,,0.0,0.36,1.09,1.09,7.42,2,39,16
41,i,0.0,0.0,4.3,560,131.0,0,0.0,-2,2.0,0.4,283,106.0,39,0,3.2,142.0,56.0,2,176,1.7,214.0,75.0,0.4,9.1,0.0,60476,9,77888,1094,0.0,0.0,0.22,0.22,0.44,14.19,0.02,0.02,0.04,1.34,207.6,170.0,70.0,17.3,356.0,125.0,26.0,302.0,95.0,25.3,271.0,92.0,,,,18,,Pau,Torres,Pau,Calf injury - Expected back 30 Dec,,952,0,1,3,11,1,0,0,0,0,0,10,100,,,,0.0,0.28,1.04,0.95,6.9,15,58,52
42,a,100.0,100.0,3.9,743,226.0,0,0.0,-1,1.0,0.2,351,130.0,0,0,0.0,529.0,195.0,0,0,0.0,471.0,182.0,0.0,0.0,0.0,25320,56,34328,112,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.0,196.0,0.0,509.0,196.0,0.0,476.0,188.0,0.0,523.0,196.0,,,,18,,Andrés,García,A.García,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
43,u,0.0,0.0,4.0,628,158.0,0,0.0,0,0.0,1.8,139,55.0,0,0,0.0,534.0,198.0,0,0,0.0,476.0,185.0,0.0,0.0,0.0,44476,0,866557,511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.0,199.0,0.0,515.0,199.0,0.0,482.0,191.0,0.0,528.0,199.0,,,,18,,Álex,Moreno Lopera,Alex Moreno,Has joined Girona permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
44,a,100.0,100.0,4.0,662,177.0,0,0.0,0,0.0,0.5,242,90.0,21,1,1.6,343.0,124.0,3,67,0.7,318.0,117.0,0.2,5.2,0.0,88968,165,71553,295,-0.3,0.7,0.0,0.1,0.1,4.56,0.0,0.03,0.03,1.26,41.2,368.0,137.0,33.6,317.0,107.0,6.0,379.0,137.0,8.0,383.0,133.0,,,,18,,Lamare,Bogarde,Bogarde,,,327,0,0,1,2,0,0,0,2,0,0,3,26,,,,0.0,0.28,0.55,0.83,4.68,7,10,14
216,i,0.0,0.0,4.8,360,58.0,0,0.0,-2,2.0,0.0,651,81.0,0,0,0.0,712.0,75.0,0,0,0.0,687.0,67.0,0.0,0.0,0.0,1467,3,5652,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713.0,75.0,0.0,708.0,74.0,0.0,698.0,74.0,0.0,713.0,75.0,,,,18,,Zeki,Amdouni,Amdouni,Knee injury - Expected back 25 Apr,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
217,n,0.0,0.0,4.9,315,55.0,0,0.0,-1,1.0,0.9,194,27.0,36,0,2.8,202.0,19.0,4,132,1.2,275.0,28.0,0.2,7.3,0.0,429075,24,407523,1134,0.0,0.0,1.6,0.25,1.85,17.93,0.17,0.03,0.2,1.86,128.4,241.0,20.0,107.0,172.0,14.0,127.0,124.0,32.0,35.8,220.0,25.0,,,,18,,Lyle,Foster,Foster,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,,866,2,1,3,19,0,0,0,2,0,0,11,49,,,,0.0,0.31,1.97,1.14,5.09,8,17,24
