id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
508,Neco,Williams,N.Williams,a,,,4.7,374,66.0,3.5,97,37.0,3.3,87.0,29.0,1,0,0.0,-3,3.0,1270,1446,0.7,11.3,3.3,2.8,2.9,187.0,74.0,,,31.0,13.0,64.0,12.0,88.0,8.0,44.0,4.0,4.0,,,,,,,0.07,0.07,0.14,1.39,0.0,0.17,1.56,1.0,6.5,18,1.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2369.0,9015.0,0.0,0.040000000000000036,0.010000000000000009,0.04999999999999982,1.3900000000000006,15.800000000000011,1.8000000000000114,7.0,2.5,1.0,2.0,3.0,3.0
509,David,Mota Veiga Teixeira do Carmo,David Carmo,u,has joined Real Oviedo on loan for the rest of the season.,,4.5,421,86.0,0.0,654,225.0,0.0,617.0,239.0,0,0,0.0,0,0.0,0,4,0.0,0.0,0.0,0.0,0.0,655.0,243.0,0.0,0.0,651.0,244.0,644.0,244.0,630.0,243.0,653.0,244.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510,Jair,Paula da Cunha Filho,Jair Cunha,a,,,4.3,591,142.0,0.1,543,195.0,0.0,561.0,228.0,0,0,0.0,-2,2.0,9,19,0.0,0.7,0.0,-0.5,3.0,176.0,71.0,,,393.0,147.0,432.0,161.0,571.0,233.0,427.0,154.0,,,,,,,,0.0,0.0,0.0,3.28,0.0,0.0,2.0,1.0,11.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520,Lewis,O'Brien,O'Brien,u,Has joined Wrexham permanently.,,5.0,253,157.0,0.0,766,341.0,0.0,715.0,308.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,733.0,319.0,0.0,0.0,734.0,319.0,731.0,319.0,725.0,317.0,734.0,319.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521,Ibrahim,Sangaré,Sangaré,n,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,,4.9,298,185.0,0.1,557,203.0,4.3,44.0,20.0,0,0,0.0,-1,1.0,6,49,0.9,9.6,0.0,0.0,3.6,104.0,45.0,0.0,0.0,148.0,55.0,214.0,135.0,203.0,115.0,199.0,100.0,,,,,,,,0.08,0.11,0.19,1.33,0.0,0.31,1.35,1.15,11.04,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522,Ryan,Yates,Yates,i,Hamstring injury - Expected back 17 Jan,,4.7,373,232.0,0.1,524,186.0,0.5,343.0,159.0,0,0,0.0,-3,3.0,0,58,0.1,3.2,0.0,0.0,1.4,373.0,169.0,0.0,0.0,324.0,146.0,331.0,179.0,311.0,164.0,352.0,168.0,,,,,,,,0.02,0.05,0.07,1.05,0.0,0.0,1.51,0.3,9.93,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525,Chris,Wood,Wood,i,Knee injury - Unknown return date,,7.2,30,11.0,4.9,79,13.0,0.0,767.0,81.0,0,0,0.0,-3,3.0,9,1419,0.0,3.5,0.0,0.0,3.1,171.0,13.0,0.0,0.0,311.0,29.0,280.0,32.0,78.0,24.0,246.0,27.0,,,1.0,,,,,0.47,0.02,0.49,1.31,0.0,0.17,1.34,1.17,2.34,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,3266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526,Igor Jesus,Maciel da Cruz,Igor Jesus,a,,,5.8,112,31.0,1.1,173,25.0,3.7,76.0,9.0,5,0,0.0,-2,2.0,3489,1147,0.6,6.6,3.7,3.2,2.2,274.0,26.0,,,255.0,22.0,185.0,16.0,30.0,14.0,127.0,15.0,,,3.0,,,,,0.3,0.08,0.38,1.51,0.0,0.3,1.78,0.99,5.14,18,5.0,90.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,5597.0,8104.0,0.0,0.10000000000000009,0.30000000000000004,0.3999999999999999,1.3899999999999988,15.0,11.399999999999991,16.0,4.200000000000003,0.0,0.0,2.0,2.0
527,Taiwo,Awoniyi,Awoniyi,a,,,5.2,209,44.0,0.3,320,52.0,0.3,376.0,43.0,1,0,0.0,-3,3.0,166,86,0.1,1.2,0.3,-0.2,1.0,452.0,51.0,100.0,100.0,416.0,44.0,332.0,38.0,280.0,45.0,384.0,44.0,,,,,,,,0.11,0.02,0.13,1.15,0.0,0.0,0.58,0.58,5.26,18,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,434.0,209.0,0.0,0.0,0.0,0.0,0.07000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
669,Dan,Ndoye,Ndoye,i,Knock - Unknown return date,,5.5,147,93.0,0.8,207,73.0,1.0,298.0,136.0,0,0,0.0,-5,5.0,1,1093,0.2,7.5,0.0,0.0,2.7,221.0,97.0,0.0,0.0,230.0,100.0,119.0,86.0,118.0,71.0,170.0,87.0,,,,,,,,0.07,0.11,0.18,1.25,0.0,0.18,1.44,1.26,7.22,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
675,Angus,Gunn,Gunn,a,,,4.0,629,42.0,1.2,166,22.0,0.0,477.0,55.0,0,0,0.0,0,0.0,38,149,0.0,0.0,0.0,-0.5,0.0,535.0,61.0,100.0,100.0,528.0,61.0,516.0,49.0,483.0,34.0,529.0,61.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
693,Omari,Hutchinson,Hutchinson,a,,,5.4,174,107.0,0.1,511,180.0,4.2,50.0,23.0,9,0,0.0,-1,1.0,1152,68,0.8,7.8,4.2,3.7,3.2,153.0,65.0,,,218.0,93.0,72.0,54.0,84.0,53.0,108.0,62.0,,,,,,,,0.21,0.24,0.45,1.49,0.0,0.28,1.24,0.69,7.59,18,9.0,90.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,32.0,1390.0,273.0,0.0,0.30000000000000004,0.06000000000000005,0.3599999999999999,1.3900000000000006,38.2,7.299999999999983,19.0,6.5,1.0,0.0,6.0,7.0
696,Arnaud,Kalimuendo,Kalimuendo,a,,,6.0,87,27.0,0.1,422,61.0,0.3,378.0,44.0,0,0,0.0,0,0.0,57,104,0.0,1.3,0.3,-0.2,1.0,460.0,52.0,,,444.0,49.0,352.0,42.0,321.0,49.0,409.0,48.0,,,,,,,,0.38,0.02,0.4,1.72,0.0,0.0,3.29,0.0,5.49,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
699,Douglas Luiz,Soares de Paulo,Douglas Luiz,a,,,4.9,307,189.0,0.0,584,220.0,0.5,347.0,162.0,0,0,0.0,-1,1.0,50,33,0.1,2.0,0.5,0.0,1.7,334.0,152.0,100.0,100.0,384.0,170.0,243.0,148.0,348.0,180.0,356.0,170.0,1.0,,,,,,,0.01,0.18,0.19,1.2,0.0,0.0,2.06,1.72,10.31,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
715,John Victor,Maciel Furtado,John,a,,,4.0,638,45.0,0.4,282,37.0,1.5,232.0,20.0,2,0,0.0,0,0.0,913,126,0.4,2.2,1.5,1.0,3.0,173.0,17.0,,,366.0,29.0,522.0,52.0,490.0,37.0,412.0,29.0,,,,,,,,0.0,0.0,0.0,1.07,1.33,0.33,1.0,1.0,0.0,18,2.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,9.0,1779.0,446.0,0.0,0.0,0.0,0.0,1.3900000000000001,26.4,0.0,0.0,2.5999999999999996,0.0,0.0,6.0,0.0
